,title,link
0,Pretty Pictures,pretty-pictures
1,Top 1000 EBooks yesterday,#books-last1
2,Top 1000 Authors yesterday,#authors-last1
3,Top 1000 EBooks last 7 days,#books-last7
4,Top 1000 Authors last 7 days,#authors-last7
5,Top 1000 EBooks last 30 days,#books-last30
6,Top 1000 Authors last 30 days,#authors-last30
7,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",/ebooks/84
8,呻吟語 by Kun Lü,/ebooks/25558
9,Pride and Prejudice by Jane Austen,/ebooks/1342
10,"Moby Dick; Or, The Whale by Herman Melville",/ebooks/2701
11,Romeo and Juliet by William Shakespeare,/ebooks/1513
12,The Complete Works of William Shakespeare by William Shakespeare,/ebooks/100
13,Middlemarch by George Eliot,/ebooks/145
14,A Room with a View by E. M.  Forster,/ebooks/2641
15,"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott",/ebooks/37106
16,Alice's Adventures in Wonderland by Lewis Carroll,/ebooks/11
17,The Blue Castle: a novel by L. M.  Montgomery,/ebooks/67979
18,The Enchanted April by Elizabeth Von Arnim,/ebooks/16389
19,Cranford by Elizabeth Cleghorn Gaskell,/ebooks/394
20,The Scarlet Letter by Nathaniel Hawthorne,/ebooks/25344
21,The Adventures of Ferdinand Count Fathom — Complete by T.  Smollett,/ebooks/6761
22,The Expedition of Humphry Clinker by T.  Smollett,/ebooks/2160
23,The Adventures of Roderick Random by T.  Smollett,/ebooks/4085
24,"History of Tom Jones, a Foundling by Henry Fielding",/ebooks/6593
25,My Life — Volume 1 by Richard Wagner,/ebooks/5197
26,Twenty years after by Alexandre Dumas and Auguste Maquet,/ebooks/1259
27,A Doll's House : a play by Henrik Ibsen,/ebooks/2542
28,Metamorphosis by Franz Kafka,/ebooks/5200
29,The Picture of Dorian Gray by Oscar Wilde,/ebooks/174
30,Dracula by Bram Stoker,/ebooks/345
31,A Modest Proposal by Jonathan Swift,/ebooks/1080
32,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,/ebooks/844
33,The Great Gatsby by F. Scott  Fitzgerald,/ebooks/64317
34,The Legend of Sleepy Hollow by Washington Irving,/ebooks/41
35,Adventures of Huckleberry Finn by Mark Twain,/ebooks/76
36,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,/ebooks/43
37,The Yellow Wallpaper by Charlotte Perkins Gilman,/ebooks/1952
38,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,/ebooks/46
39,A Tale of Two Cities by Charles Dickens,/ebooks/98
40,Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche,/ebooks/1998
41,The Brothers Karamazov by Fyodor Dostoyevsky,/ebooks/28054
42,The twelve best short stories in the French language,/ebooks/74669
43,Great Expectations by Charles Dickens,/ebooks/1400
44,War and Peace by graf Leo Tolstoy,/ebooks/2600
45,Crime and Punishment by Fyodor Dostoyevsky,/ebooks/2554
46,The Prince by Niccolò Machiavelli,/ebooks/1232
